time,col,x,y,level,time
19960101,7935,11,14,N,99:99
19960101,7937,09,18,N,99:99
19960102,7935,11,00,N,99:99
19960102,7937,09,04,N,99:99
19960103,7938,12,26,N,99:99
19960103,7939,04,29,N,99:99
19960104,7938,12,12,N,99:99
19960104,7939,04,14,N,99:99
19960105,7938,12,02,N,99:99
19960105,7939,04,00,N,99:99
19960106,7938,12,04,N,99:99
19960106,7939,03,00,N,99:99
19960107,7938,13,20,N,99:99
19960107,7939,03,25,N,99:99
19960107,7940,09,27,N,99:99
19960108,7938,13,06,N,99:99
19960108,7939,03,10,N,99:99
19960108,7940,09,12,N,99:99
19960109,7938,13,08,N,99:99
19960109,7939,03,04,N,99:99
19960109,7940,09,02,N,99:99
19960110,7939,03,06,N,99:99
19960110,7940,10,03,N,99:99
19960118,7941,07,11,N,99:99
19960119,7941,07,02,N,99:99
19960120,7941,07,15,N,99:99
19960121,7941,07,28,N,99:99
19960122,7942,00,25,N,99:99
19960123,7942,00,38,N,99:99
19960124,7942,00,51,N,99:99
19960125,7943,12,63,N,99:99
19960125,7942,00,64,N,99:99
19960126,7943,12,51,N,99:99
19960126,7942,00,77,N,99:99
19960127,7943,11,37,N,99:99
19960127,7942,00,90,N,99:99
19960128,7943,11,23,N,99:99
19960129,7943,11,10,N,99:99
19960130,7943,11,04,N,99:99
19960131,7943,10,17,N,99:99
19960131,7944,08,42,N,99:99
19960201,7944,08,58,N,99:99
19960201,7943,10,30,N,99:99
19960202,7944,08,70,N,99:99
19960202,7943,10,43,N,99:99
19960203,7944,09,85,N,99:99
19960203,7943,09,55,N,99:99
19960204,7943,09,69,N,99:99
19960205,7943,09,82,N,99:99
19960216,7945,06,05,N,99:99
19960217,7945,06,18,N,99:99
19960218,7945,06,31,N,99:99
19960219,7945,06,44,N,99:99
19960220,7946,09,71,N,99:99
19960220,7945,06,57,N,99:99
19960221,7946,09,57,N,99:99
19960221,7945,06,70,N,99:99
19960222,7946,08,44,N,99:99
19960222,7947,14,41,N,99:99
19960222,7945,06,83,N,99:99
19960223,7946,08,30,N,99:99
19960223,7947,13,56,N,99:99
19960224,7946,10,18,N,99:99
19960224,7947,13,69,N,99:99
19960225,7946,12,00,N,99:99
19960225,7948,09,27,N,99:99
19960226,7946,12,15,N,99:99
19960226,7948,09,40,N,99:99
19960227,7946,13,25,N,99:99
19960227,7948,10,54,N,99:99
19960228,7948,10,67,N,99:99
19960228,7946,13,03,N,99:99
19960229,7949,11,05,N,99:99
19960229,7946,13,51,N,99:99
19960229,7948,10,83,N,99:99
19960301,7946,07,67,N,99:99
19960301,7949,12,21,N,99:99
19960307,7950,09,78,N,99:99
19960307,7951,02,12,N,99:99
19960312,7952,03,23,N,99:99
19960313,7952,03,08,N,99:99
19960314,7952,04,05,N,99:99
19960315,7952,04,18,N,99:99
19960316,7952,07,28,N,99:99
19960317,7952,04,46,N,99:99
19960318,7952,04,62,N,99:99
19960319,7952,05,75,N,99:99
19960320,7952,04,88,N,99:99
19960322,7953,07,10,N,99:99
19960323,7953,08,04,N,99:99
19960324,7953,07,16,N,99:99
19960325,7953,07,31,N,99:99
19960326,7953,07,44,N,99:99
19960327,7953,07,56,N,99:99
19960327,7954,02,39,N,99:99
19960328,7953,07,72,N,99:99
19960328,7954,01,53,N,99:99
19960329,7953,08,86,N,99:99
19960329,7954,00,67,N,99:99
19960330,7953,08,91,N,99:99
19960330,7954,01,79,N,99:99
19960402,7955,02,57,N,99:99
19960403,7955,01,70,N,99:99
19960404,7955,00,84,N,99:99
19960405,7955,01,91,N,99:99
19960413,7956,08,21,N,99:99
19960414,7956,06,07,N,99:99
19960417,7956,07,35,N,99:99
19960418,7956,05,50,N,99:99
19960419,7956,05,64,N,99:99
19960419,7957,10,63,N,99:99
19960420,7956,04,76,N,99:99
19960420,7957,09,77,N,99:99
19960421,7957,09,91,N,99:99
19960421,7958,07,69,N,99:99
19960422,7958,07,84,N,99:99
19960423,7958,06,91,N,99:99
19960424,7958,08,91,N,99:99
19960425,7959,07,71,N,99:99
19960506,7961,12,02,N,99:99
19960507,7961,13,16,N,99:99
19960507,7962,04,63,N,99:99
19960508,7961,16,27,N,99:99
19960508,7962,05,53,N,99:99
19960509,7962,07,12,N,99:99
19960510,7962,07,26,N,99:99
19960511,7962,06,14,N,99:99
19960511,7963,25,29,N,99:99
19960512,7962,07,00,N,99:99
19960512,7963,25,13,N,99:99
19960512,7964,07,12,N,99:99
19960513,7962,07,15,N,99:99
19960513,7964,06,00,N,99:99
19960514,7962,06,29,N,99:99
19960514,7964,07,14,N,99:99
19960515,7962,06,43,N,99:99
19960515,7964,08,27,N,99:99
19960516,7962,06,57,N,99:99
19960516,7964,07,41,N,99:99
19960517,7962,05,70,N,99:99
19960518,7962,06,84,N,99:99
19960523,7965,38,39,N,99:99
19960602,7967,35,14,N,99:99
19960603,7967,35,00,N,99:99
19960604,7968,02,27,N,99:99
19960605,7968,02,14,N,99:99
19960605,7969,09,47,N,99:99
19960606,7968,03,02,N,99:99
19960606,7969,08,58,N,99:99
19960607,7968,03,15,N,99:99
19960607,7970,09,91,N,99:99
19960608,7968,02,29,N,99:99
19960609,7968,03,43,N,99:99
19960610,7968,02,56,N,99:99
19960610,7971,07,29,N,99:99
19960611,7968,02,70,N,99:99
19960612,7968,03,84,N,99:99
19960613,7968,03,91,N,99:99
19960619,7972,28,11,N,99:99
19960620,7972,28,04,N,99:99
19960620,7973,09,56,N,99:99
19960621,7972,27,16,N,99:99
19960621,7973,10,45,N,99:99
19960622,7972,28,29,N,99:99
19960622,7973,11,31,N,99:99
19960622,7974,09,02,N,99:99
19960623,7973,10,18,N,99:99
19960623,7975,07,51,N,99:99
19960624,7973,10,04,N,99:99
19960624,7976,12,49,N,99:99
19960625,7973,09,09,N,99:99
19960625,7976,13,38,N,99:99
19960626,7973,10,21,N,99:99
19960626,7976,13,24,N,99:99
19960627,7973,09,35,N,99:99
19960627,7976,13,11,N,99:99
19960628,7973,08,49,N,99:99
19960628,7976,13,03,N,99:99
19960629,7973,08,62,N,99:99
19960629,7976,13,16,N,99:99
19960630,7973,09,76,N,99:99
19960630,7976,13,23,N,99:99
19960701,7973,06,90,N,99:99
19960701,7976,12,43,N,99:99
19960702,7973,08,91,N,99:99
19960703,7977,04,02,N,99:99
19960704,7977,03,16,N,99:99
19960705,7978,11,14,N,99:99
19960706,7978,09,01,N,99:99
19960708,7978,10,25,N,99:99
19960709,7978,10,38,N,99:99
19960710,7978,10,52,N,99:99
19960711,7978,11,65,N,99:99
19960712,7978,11,79,N,99:99
19960713,7978,12,90,N,99:99
19960714,7978,10,91,N,99:99
19960720,7979,34,28,N,99:99
19960727,7980,10,16,N,99:99
19960728,7981,11,58,N,99:99
19960729,7981,10,46,N,99:99
