time,col,x,y,level,time
20100101,11039,S28,W35,N,99:99
20100102,11039,S27,W49,N,99:99
20100102,11039,S27,W49,C,14:08
20100102,11039,S27,W49,C,07:09
20100102,11039,S27,W49,N,99:99
20100103,11039,S28,W60,N,99:99
20100103,11039,S28,W60,C,01:17
20100103,11039,S28,W60,N,99:99
20100103,11039,S28,W60,C,22:57
20100103,11039,S28,W60,C,14:08
20100104,11039,S29,W73,N,99:99
20100104,11039,S29,W73,N,99:99
20100104,11039,S29,W73,C,01:17
20100105,11039,S28,W86,N,99:99
20100106,11039,S29,W91,N,99:99
20100107,11040,N28,E45,N,99:99
20100108,11040,N28,E45,N,99:99
20100109,11040,N29,E33,N,99:99
20100110,11040,N30,E21,N,99:99
20100111,11040,N30,E04,N,99:99
20100112,11040,N29,W04,N,99:99
20100112,11040,N29,W04,C,12:33
20100112,11040,N29,W04,N,99:99
20100113,11040,N28,W18,N,99:99
20100114,11040,N28,W25,N,99:99
20100115,11040,N28,W44,N,99:99
20100115,11040,N28,W44,C,07:22
20100115,11040,N28,W44,N,99:99
20100116,11040,N29,W55,N,99:99
20100117,11040,N29,W71,N,99:99
20100117,11040,N29,W71,C,22:12
20100117,11040,N29,W71,N,99:99
20100118,11040,N30,W88,N,99:99
20100118,11040,N30,W88,N,99:99
20100118,11040,N30,W88,C,22:12
20100119,11040,N26,W91,N,99:99
20100119,11040,N26,W91,C,08:34
20100119,11040,N26,W91,N,99:99
20100120,11041,S25,E63,N,99:99
20100120,11041,S25,E63,M,17:50
20100120,11041,S25,E63,C,17:28
20100120,11041,S25,E63,C,15:10
20100120,11041,S25,E63,C,13:19
20100120,11041,S25,E63,C,12:28
20100120,11041,S25,E63,M,10:46
20100120,11041,S25,E63,C,09:13
20100120,11041,S25,E63,C,04:48
20100120,11041,S25,E63,C,02:47
20100120,11041,S25,E63,C,00:10
20100120,11041,S25,E63,N,99:99
20100121,11041,S25,E63,N,99:99
20100121,11041,S25,E63,C,10:42
20100121,11041,S25,E63,C,03:49
20100121,11041,S25,E63,N,99:99
20100121,11041,S25,E63,M,17:50
20100121,11041,S25,E63,C,17:28
20100121,11041,S25,E63,C,15:10
20100121,11041,S25,E63,C,12:28
20100121,11041,S25,E63,M,10:46
20100121,11041,S25,E63,C,09:13
20100121,11041,S25,E63,M,07:42
20100121,11041,S25,E63,C,06:59
20100121,11041,S25,E63,C,06:45
20100121,11041,S25,E63,C,06:10
20100121,11041,S25,E63,C,04:48
20100121,11041,S25,E63,C,02:47
20100121,11041,S25,E63,C,00:10
20100122,11041,S24,E47,N,99:99
20100122,11041,S24,E47,N,99:99
20100122,11041,S24,E47,C,10:42
20100122,11041,S24,E47,C,03:49
20100122,11042,N22,W42,N,99:99
20100123,11041,S25,E36,N,99:99
20100123,11042,N22,W42,N,99:99
20100124,11041,S24,E21,N,99:99
20100124,11042,N22,W56,N,99:99
20100125,11041,S24,E09,N,99:99
20100125,11042,N21,W70,N,99:99
20100126,11041,S25,W02,N,99:99
20100126,11042,N18,W87,N,99:99
20100127,11041,S24,W17,N,99:99
20100127,11042,N18,W91,N,99:99
20100128,11041,S25,W30,N,99:99
20100129,11041,S26,W46,N,99:99
20100130,11041,S27,W56,N,99:99
20100130,11043,N27,E21,N,99:99
20100131,11041,S27,W72,N,99:99
20100131,11043,N27,E21,N,99:99
20100201,11043,N25,E10,N,99:99
20100202,11043,N25,W04,N,99:99
20100203,11043,N25,W19,N,99:99
20100204,11043,N25,W32,N,99:99
20100205,11043,N26,W47,N,99:99
20100205,11044,N18,W50,N,99:99
20100206,11043,N24,W64,N,99:99
20100206,11044,N18,W50,N,99:99
20100206,11045,N24,E01,N,99:99
20100207,11043,N25,W76,N,99:99
20100207,11045,N24,E01,N,99:99
20100207,11045,N24,E01,C,22:28
20100207,11045,N24,E01,C,21:31
20100207,11045,N24,E01,C,21:09
20100207,11045,N24,E01,C,03:25
20100207,11045,N24,E01,M,02:20
20100207,11045,N24,E01,N,99:99
20100207,11045,N24,E01,M,21:31
20100207,11045,N24,E01,M,18:47
20100207,11045,N24,E01,C,10:34
20100207,11045,N24,E01,C,06:59
20100207,11046,N25,E51,N,99:99
20100208,11043,N23,W87,N,99:99
